cbbatch                       	CB_VCHR_IN  	AP Voucher upload program     	Voucher Interface process     	Application Engine            	CB_AP_VCHR_RUN    	GBL	CB_INB_VCHR_HOME_DELIVERY     	CB_AP_VCHR_RUN 	CB_AP_VCHR_RUN    
cbbatch                       	CB_VCHR_IN  	AP Voucher upload program     	Voucher Interface process     	Application Engine            	CB_AP_VCHR_RUN    	GBL	CB_INB_VCHR_INL               	CB_AP_VCHR_RUN 	CB_AP_VCHR_RUN    
cbbatch                       	CB_VCHR_IN  	AP Voucher upload program     	Voucher Interface process     	Application Engine            	CB_AP_VCHR_RUN    	GBL	CB_INB_VCHR_ONTRAC            	CB_AP_VCHR_RUN 	CB_AP_VCHR_RUN    
cbbatch                       	CB_VCHR_IN  	AP Voucher upload program     	Voucher Interface process     	Application Engine            	CB_AP_VCHR_RUN    	GBL	CB_INB_VCHR_OPT               	CB_AP_VCHR_RUN 	CB_AP_VCHR_RUN    
cbbatch                       	CB_VCHR_IN  	AP Voucher upload program     	Voucher Interface process     	Application Engine            	CB_AP_VCHR_RUN    	GBL	CB_INB_VCHR_PROJECTMATES      	CB_AP_VCHR_RUN 	CB_AP_VCHR_RUN    
cbbatch                       	CB_VCHR_IN  	AP Voucher upload program     	Voucher Interface process     	Application Engine            	CB_AP_VCHR_RUN    	GBL	CB_INB_VCHR_PUR               	CB_AP_VCHR_RUN 	CB_AP_VCHR_RUN    
cbbatch                       	CB_VCHR_IN  	AP Voucher upload program     	Voucher Interface process     	Application Engine            	CB_AP_VCHR_RUN    	GBL	CB_INB_VCHR_UPS               	CB_AP_VCHR_RUN 	CB_AP_VCHR_RUN    
cbbatch                       	CB_VCHR_IN  	AP Voucher upload program     	Voucher Interface process     	Application Engine            	CB_AP_VCHR_RUN    	GBL	CB_INB_VCHR_VND_CHGBK         	CB_AP_VCHR_RUN 	CB_AP_VCHR_RUN    
cbbatch                       	CB_VCHR_IN  	AP Voucher upload program     	Voucher Interface process     	Application Engine            	CB_AP_VCHR_RUN    	GBL	CB_INB_VCHR_VND_REV_CHGBK     	CB_AP_VCHR_RUN 	CB_AP_VCHR_RUN    
cbbatch                       	CB_VCHR_IN  	AP Voucher upload program     	Voucher Interface process     	Application Engine            	CB_AP_VCHR_RUN    	GBL	CB_INB_VCHR_WHOLESALE         	CB_AP_VCHR_RUN 	CB_AP_VCHR_RUN    
cbbatch                       	CB_MEDIS_IN 	AP Voucher upload program     	Medius Flow Inbound process   	Application Engine            	CB_AP_VCHR_RUN    	GBL	CB_MEDIUS                     	CB_AP_VCHR_RUN 	CB_AP_VCHR_RUN    
cbbatch                       	CB_MED_OB   	AP Voucher upload program     	Mediusflow Invoice STS OB     	Application Engine            	CB_AP_VCHR_RUN    	GBL	CB_MEDIUS                     	CB_AP_VCHR_RUN 	CB_AP_VCHR_RUN    
cbbatch                       	CBBMKPO     	Beemak Plastic PO OB          	Beemak CSV Outbound File      	SQR Report                    	CB_BEEMAK_OB_CMP  	GBL	CB_BEEMAK_PO                  	CB_BMK_OB_RUN  	CB_BEEMAK_OB_CMP  
cbbatch                       	CB_BEEMAKOB1	Beemak Plastic PO OB          	Beemak PO Outbound file       	Application Engine            	CB_BEEMAK_OB_CMP  	GBL	CB_BEEMAK_PO                  	CB_BMK_OB_RUN  	CB_BEEMAK_OB_CMP  
cbbatch                       	CB_TRECGL_OB	TRec JournalOutbound Interface	Trec Journal Outbound Interfac	Application Engine            	CB_GLITRFC_RUN_CMP	GBL	CB_OUTB_TREC_JRNL_CBC         	CB_I018_HD_RUN 	CB_GLITRFC_RUN_CMP
cbbatch                       	CB_TRECGL_OB	TRec JournalOutbound Interface	Trec Journal Outbound Interfac	Application Engine            	CB_GLITRFC_RUN_CMP	GBL	CB_OUTB_TREC_JRNL_EDI         	CB_I018_HD_RUN 	CB_GLITRFC_RUN_CMP
cbbatch                       	CB_INV_OB   	Outbound Invoice Payment      	Outbound Invoice Payment      	Application Engine            	CB_INV_OB_RUN     	GBL	CB_OUTB_VCHR_AMT              	CB_INV_OB_RUN  	CB_INV_OB_RUN     
cbbatch                       	CB_INV_OB   	Outbound Invoice Payment      	Outbound Invoice Payment      	Application Engine            	CB_INV_OB_RUN     	GBL	CB_OUTB_VCHR_FXA              	CB_INV_OB_RUN  	CB_INV_OB_RUN     
cbbatch                       	CB_INV_OB   	Outbound Invoice Payment      	Outbound Invoice Payment      	Application Engine            	CB_INV_OB_RUN     	GBL	CB_OUTB_VCHR_PAYMENT          	CB_INV_OB_RUN  	CB_INV_OB_RUN     
