NAME,NEWNAME
STUB_DCL[COPUSWD]DYS[D14]MIU[JAN],January 14WD
STUB_DCL[COPUSWD]DYS[D14]MIU[MAY-AUG-DEC],May/Aug/Dec 14WD
STUB_DCL[COPUSWD]DYS[D15],15WD
STUB_DCL[COPUSWD]DYS[D15]MIU[FEB],February 15WD
STUB_DCL[COPUSWD]DYS[D15]MIU[JAN],January 15WD
STUB_DCL[COPUSWD]DYS[D15]MIU[OCT],October 15WD
STUB_DCL[COPUSWD]DYS[D16],16WD
STUB_DCL[COPUSWD]DYS[D18],18WD
STUB_DCL[COPUSWD]DYS[D18]MIU[JAN],January 18WD
STUB_DCL[COPUSWD]DYS[D18]MIU[OCT],October 18WD
STUB_DCL[COPUSWD]DYS[D2-D10-D16],2WD_ 10WD_ 16WD
STUB_DCL[COPUSWD]DYS[D2-D11],2WD and 11WD
STUB_DCL[COPUSWD]DYS[D2-D13],2WD and 13WD
STUB_DCL[COPUSWD]DYS[D2-D19],2WD and 19WD
STUB_DCL[COPUSWD]DYS[D2-D3-D4-D5],2WD - 5WD
STUB_DCL[COPUSWD]DYS[D2-D3-D4],2WD - 4WD
STUB_DCL[COPUSWD]DYS[D2-D3],2WD and 3WD
STUB_DCL[COPUSWD]DYS[D2-D4-D12],2WD_ 4WD_ 12WD
STUB_DCL[COPUSWD]DYS[D2],2WD
STUB_DCL[COPUSWD]DYS[D2]MIU[FEB-MAR-APR-MAY-JUN-JUL-AUG-SEP-OCT-,2WD Every Month Except January
STUB_DCL[COPUSWD]DYS[D3-D4-D5-D6-D7-D8-D9-D10-D11-D12],3WD - 12WD 
STUB_DCL[COPUSWD]DYS[D3-D4-D5-D6-D7-D8-D9-D10],3WD - 10WD
STUB_DCL[COPUSWD]DYS[D3-D4-D5-D6-D7],3WD - 7WD
STUB_DCL[COPUSWD]DYS[D3-D4-D5-D6],3WD - 6WD
STUB_DCL[COPUSWD]DYS[D3-D4-L2-L3],3WD_ 4WD_ -L2WD_ -L3WD
STUB_DCL[COPUSWD]DYS[D3-D4],3WD and 4WD
STUB_DCL[COPUSWD]DYS[D3-D6-D14],3WD_ 6WD_ 14WD
STUB_DCL[COPUSWD]DYS[D3-D6-L1],3WD_ 6WD_ LWD
STUB_DCL[COPUSWD]DYS[D3],3WD
STUB_DCL[COPUSWD]DYS[D3]MIU[APR],April 3WD
STUB_DCL[COPUSWD]DYS[D3]MIU[FEB-MAR-APR-MAY-JUN-JUL-AUG-SEP-OCT-,3WD Every Month Except January
STUB_DCL[COPUSWD]DYS[D4-D5-D6-D7-D8-D9-D10],4WD - 10WD
STUB_DCL[COPUSWD]DYS[D4-D5-D6-D7-D8],4WD - 8WD
STUB_DCL[COPUSWD]DYS[D4-D5],4WD and 5WD
STUB_DCL[COPUSWD]DYS[D4],4WD
STUB_DCL[COPUSWD]DYS[D5-D6-D7-D8-D9],5WD - 9WD
STUB_DCL[COPUSWD]DYS[D5-D6],5WD and 6WD
STUB_DCL[COPUSWD]DYS[D5],5WD
STUB_DCL[COPUSWD]DYS[D6-D7],6WD and 7WD
STUB_DCL[COPUSWD]DYS[D6-D9],6WD and 9WD
STUB_DCL[COPUSWD]DYS[D6],6WD
STUB_DCL[COPUSWD]DYS[D6]MIU[JAN],January 6WD
STUB_DCL[COPUSWD]DYS[D7-D8],7WD and 8WD
STUB_DCL[COPUSWD]DYS[D7-D8]MIU[APR],April 7WD and 8WD
STUB_DCL[COPUSWD]DYS[D7-D8]MIU[AUG],August 7WD and 8WD
STUB_DCL[COPUSWD]DYS[D7-D8]MIU[DEC],December 7WD and 8WD
STUB_DCL[COPUSWD]DYS[D7-D8]MIU[FEB],February 7WD and 8WD
STUB_DCL[COPUSWD]DYS[D7-D8]MIU[JAN-APR-MAY-JUN-JUL-AUG-SEP-OCT-N,April - January 7WD and 8WD
STUB_DCL[COPUSWD]DYS[D7-D8]MIU[JAN-AUG-SEP-OCT-NOV-DEC],August - January 7WD and 8WD
STUB_DCL[COPUSWD]DYS[D7-D8]MIU[JAN-DEC],December and January 7WD/8WD
