JOBNAME,PROGNAME,VARIANT,PDEST,PRCOP,PLIST,PRTXT,PRBER
YDTP2PEU,ZLEADTIME_MM02,P2PAVG1000EU,MFPR,001,YDTP2PEU_001,,
YDTP2PLI,ZLEADTIME_MM02,P2PAVGINITIAL,MFWC,001,YDTP2PLI_001,,
YDTP2PLQ,ZLEADTIME_MM02,P2PAVG30US,MFPR,001,YDTP2PLQ_001,,
YDTP2PSD,ZLEADTIME_SWEEP,P2PSWEEP,DUMY,001,YDTP2PSD_001,,COP
YEKKNEXT,Z_EKKN_EXTRACT,EPMS EV RUN,MFPR,001,YEKKNEXT_001,,
YELINLST,Z_PMLINELIST_EXCEL,BD_EKOX,S014,001,YELINLST_001,,
YENCAL10,ZXM_COST_REPORT,ENFOS_CA_L10,LOCL,001,YENCAL10_001,,
YENERRPT,ZENFOS_ERR_RPT,ERROR RPT PRD,MFPR,001,YENERRPT_001,ENFOS Errors Report,COP
YENFOS01,Z_ENFOS_PROJECT_EXTRACT,ENFOS_USA,BVMC,001,YENFOS01_001,,
YENFOS02,Z_ENFOS_PROJECT_EXTRACT,ENFOS_CANADA,BVMC,001,YENFOS02_001,,
YENUSL10,ZXM_COST_REPORT,ENFOS_USA_L10,LOCL,001,YENUSL10_001,,
YEQUMAXI,Z_EQUI_TO_MAXITRAK,WEEKLY RUN,MFPR,001,YEQUMAXI_001,,
YEUUSRPA,ZUPDPARAM,NORWAY USERS,S014,001,YEUUSRPA_001,,COP
YF1099CY,Z1099OUT,CURRENT YEAR,BV11,001,YF1099CY_001,1099 extract,COP
YF1099PY,Z1099OUT,PREVIOUS YEAR,BV11,001,YF1099PY_001,1099 extract,COP
YF1099QC,Z1099OUT,CURR YEAR QLS,S156,001,YF1099QC_001,1099 extract for Quorum Vendors,COP
YF1099QP,Z1099OUT,PREV YEAR QLS,S156,001,YF1099QP_001,1099 extract for Quorum Vendors,COP
YF1099QS,Z1099OUT,PY QLS 1099S,MFPR,001,YF1099QS_001,1099S extract for Quorum Vendors - Previous Year,COP
YFAKCOBJ,Z_COST_OBJECT_EXTRACT,AK DAILY EXT,ZA2J,001,YFAKCOBJ_001,,
YFALINUK,Z_CREATE_GL_FILE_FROM_PI,ALIGNE_UK,MFPR,001,YFALINUK_001,,COP
YFALMACA,ZFI_ALM_AUTHORITIES,CANADA-ALM,MFPR,001,YFALMACA_001,,COP
YFALMQLS,ZFI_ALM_AUTHORITIES,QUORUM_EXTRACT,MFPR,001,YFALMQLS_001,,COP
YFALMSCA,ZFI_ALM_SUBSTITUTES,CANADA-DOA,MFPR,001,YFALMSCA_001,,COP
YFAM01DE,ZAM01_DELETE,ARCHIVE,MFPR,001,YFAM01DE_001,,COP
YFAMAJRW,RAJAWE00,MONTHLY,MFPR,001,YFAMAJRW_001,,COP
YFAMD1TR,ZFI_AM_BLD_DEPR_COMP_SUBMT_JOB,01 MONTHTRR,MFPR,001,YFAMD1TR_001,,COP
YFAMDE01,ZFI_AM_BLD_DEPR_COMP_SUBMT_JOB,01 MONTHEND,MFPR,001,YFAMDE01_001,,COP
YFAMDE1R,ZFI_AM_BLD_DEPR_COMP_SUBMT_JOB,01 MONTHRR,MFPR,001,YFAMDE1R_001,,COP
YFAMDE8R,ZFI_AM_BLD_DEPR_COMP_SUBMT_JOB,H8 MONTHEND RR,MFPR,001,YFAMDE8R_001,,COP
YFAMDEPR,ZFI_AM_BLD_DEPR_COMP_SUBMT_JOB,PROD RUN,MFPR,001,YFAMDEPR_001,,COP
YFAMDEQL,ZFI_AM_BLD_DEPR_COMP_SUBMT_JOB,QL MONTHEND,MFPR,001,YFAMDEQL_001,,COP
YFAMDL48,ZFI_AM_BLD_DEPR_COMP_SUBMT_JOB,L48 MONTHEND,MFPR,001,YFAMDL48_001,,COP
YFAMDPRR,ZFI_AM_BLD_DEPR_COMP_SUBMT_JOB,PROD RERUN,MFPR,001,YFAMDPRR_001,,COP
