NAME,NEWNAME
HOCWAPP0029_OS,HOCWAPP0029
HOCWAPP0035_OS,HOCWAPP0035
HOCWAPP0069_OS,HOCWAPP0069
HOCWAPP0078_OS,HOCWAPP0078
HOCWAPP1784_OS,HOCWAPP1784
HOCWAPT0003_OS,HOCWAPT0003
HOCWAPT0057_OS,HOCWAPT0057
HOCWWBIP0310_OS,HOCWWBIP0310
HULK_OS,HULK
INFADEVQ_OS,INFADEVQ
INFATEST2_OS,INFATEST2
IRONFIST_OS,IRONFIST
JEDI_OS,JEDI
JMARICHAL_SAP,JMARICHAL-BTQ
KIARA_OS,KIARA
LOTUS_OS,LOTUS
LOTUS_SAP,LOTUS_SAP
MOUNTDOOM_OS,MOUNTDOOM
MUFASA_OS,MUFASA
NAMATH_OS,NAMATH
NAMATH_SAP,NAMATH-TSQ
PUMBAA_OS,PUMBAA
PUNISHER_OS,PUNISHER
RCLEMENTE_SAP,RCLEMENTE-BDQ
RUTH_OS,RUTH
RUTH_SAP,RUTH-PBW
RYAN_SAP,RYAN-BT2
SALEEN_OS,SALEEN
SCUDERIA_OS,SCUDERIA
SCUDERIA_SAP,SCUDERIA_SAP
SHINGLES_OS,SHINGLES
SIMBA_OS,SIMBA
SMEAGOL_OS,SMEAGOL
SOONERS_OS,SOONERS
SPIDERMAN_OS,SPIDERMAN
SVGUAPD0022_OS,SVGUAPD0022
SVGUAPT0022_OS,SVGUAPT0022
SVGWAPD0057_OS,SVGWAPD0057
SVGWAPP0057_OS,SVGWAPP0057
SVGWAPT0057_OS,SVGWAPT0057
TAHOE_OS,TAHOE
TAHOE_SAP,TAHOE-TS2
TAYGETA_OS,TAYGETA
THABIT_OS,THABIT
THOR_OS,THOR
TIMON_OS,TIMON
UNKNOWN_OS,UNKNOWN
VARICELLA_OS,VARICELLA
VENOM_OS,VENOM
YUKON_OS,YUKON
