GROUPNAME,JOBNAME
APM036,LIE.APM036
APM036,LIS.APM036
APM092,CDSTAT.ZFIAPR08_CSVCD
APM092,LIE.APM092
APM092,LIS.APM092
APM092,PARMSET.APM092
APM092,SETPID.APM092
APM092,ZFIAPR08_CSVCD
APMFI010,LIE.APMFI010
APMFI010,LIS.APMFI010
APPLCOPY,ACICSDWN
APPLCOPY,ACICSUP
APPLCOPY,APPLRAPM
APPLCOPY,APPLRARS
APPLCOPY,APPLRCPL
APPLCOPY,APPLRCTL
APPLCOPY,APPLRCUS
APPLCOPY,APPLRDCM
APPLCOPY,APPLRDLS
APPLCOPY,APPLRGLB
APPLCOPY,APPLRGLC
APPLCOPY,APPLRMPO
APPLCOPY,APPLRPLS
APPLCOPY,APPLRRCV
APPLCOPY,APPLRROO
APPLCOPY,APPLRROX
APPLCOPY,APPLRRPI
APPLCOPY,APPLRRT
APPLCOPY,APPLRSYN
APPLCOPY,APPLRTRF
APR106,LIE.APR106
APR106,LIS.APR106
APR504,LIE.APR504
APR504,LIS.APR504
APW001,LIE.APW001
APW001,LIS.APW001
APW002,LIE.APW002
APW002,LIS.APW002
APW003,LIE.APW003
APW003,LIS.APW003
APW003,ZFIAPR05_CO_VNDRS_EQE
APW004,LIE.APW004
APW004,LIS.APW004
APW005,LIE.APW005
APW005,LIS.APW005
APW007,LIE.APW007
APW007,LIS.APW007
APW008,LIE.APW008
APW008,LIS.APW008
APW011,LIE.APW011
APW011,LIS.APW011
APW012,LIE.APW012
APW012,LIS.APW012
APW013,LIE.APW013
APW013,LIS.APW013
APW030,LIE.APW030
APW031,LIE.APW031
APW031,LIS.APW031
APWFI010,LIE.APWFI010
APWFI010,LIS.APWFI010
APWFI020,LIE.APWFI020
APWFI020,LIS.APWFI020
AR01,LIE.AR01
AR01,LIS.AR01
AR01,SWESPEMO
AR01,SWESPREM
ARD001,ARZFIARI04
ARD001,LIE.ARD001
ARD001,LIS.ARD001
ARD002,LIE.ARD002
ARD002,LIS.ARD002
ARD002,RESUME.ARD002TR
ARD002D,ENTIRENET_INVOICES_COMPLETE
ARD002D,LIE.ARD002D
ARD002D,SUSPEND_ARD002TR
ARD002TR,ENTIRENET_ZIP_NOFILE
ARD005,LIE.ARD005
ARD005,LIS.ARD005
ARD006,LIE.ARD006
ARD006,LIS.ARD006
ARD006,PRTXFRCHB
ARD007,COMPLETE_EDI823
ARD007,COMPLETE_PAYMENT
ARD007,LIS.ARD007
ARD008,COMPLETE_EDI820
ARD008,COMPLETE_REMITTANCE
ARD008,EDI820
ARD008,LIS.ARD008
ARD009,CDSTAT.ZFIARI02CD
ARD009,LIE.ARD009
ARD009,LIS.ARD009
ARD009,PARMSET.ARD009
ARD009,SETPID.ARD009
ARD010C,LIE.ARD010C
ARD010C,LIS.ARD010C
ARD010R,LIE.ARD010R
ARD010R,LIS.ARD010R
ARD011,LIE.ARD011
ARD011,LIS.ARD011
ARD012,CDSTAT_ZFIARI11_RBC
ARD012,LIE.ARD012
ARD012,LIS.ARD012
ARD012,PARMSET.ARD012
ARD012,SETPID1.ARD012
ARD012,SETPID2.ARD012
ARD013,LIE.ARD013
ARD013,LIS.ARD013
ARIBAI01,LIE.ARIBAI01
ARIBAI01,LIS.ARIBAI01
ARM000,LIE.ARM000
ARM000,LIS.ARM000
ARM001,LIE.ARM001
ARM001,PARMSET.ARM001
ARM001,PRTXFRACS
ARM001,RFDKLI43_ATB_MONTH_END_RPT
ARM001,ZFIARI06_CUST_STMTS_ENTIRENET
ARM001,ZFIARR02_OPEN_AR_BUS_UNIT
AT001U,AT001U
AT001U,AT002D
AT001U,AT003D
AT001U,BECPYTXD
AT001U,LIE.AT001U
AT001U,LIS.AT001U
AUDAGENT,AUDAGENT
AUDAGENT,AUDITBFP
AUDAGENT,AUDITBGP
AUDAGENT,AUDITBWP
AUDAGENT,AUDITBZC
AUDAGENT,AUDITBZP
AUDAGENT,AUDITIZP
B2MIMI21,B2MIMI21
BABOSS01,LIS.BABOSS01
BANTLYBK,BARPPREV
BANTLYBK,BDAP0007
BANTLYBK,BKUPM038
BANTLYBK,BOPP0413
BANTLYBK,BPSP1041
BANTLYBK,HOLIDAY_NO_JOBS_TO_RUN
BANTLYBK,LIE.BACKUP1
BANTLYBK,LIE.BANTLYBK
BANTLYBK,LIS.BACKUP1
BANTLYBK,LIS.BANTLYBK
BANTLYBK,LSERVUP.1
BANTLYBK,LSRVDOWN
BAPP0500,BAPP0500
BARP0002,BARP0002
BARP0052,BARP0052
BAYRBKUP,BAYRBKUP
BAYRBKUP,BKUPY02A
BAYRBKUP,BKUPY03A
BAYRBKUP,BKUPY04A
BAYRBKUP,BKUPY13A
BAYRBKUP,BKUPY30A
BAYRBKUP,BKUPY31A
BAYRBKUP,BKUPY32A
BAYRBKUP,BKUPY33A
BAYRBKUP,BKUPY38A
BAYRBKUP,BKUPYSQA
BAYRBKUP,BKUPYVSA
BAYRBKUP,READ02.YA
BAYRBKUP,READ03.YA
BAYRBKUP,READ04.YA
BAYRBKUP,READ13.YA
BAYRBKUP,READSYN.YR
BAYRBKUP,USERREQ.BAYRBKUP
BAYRBKUP,WRITE02.YA
BAYRBKUP,WRITE03.YA
BAYRBKUP,WRITE04.YA
BAYRBKUP,WRITE13.YA
BAYRBKUP,WRITESYN.YR
BCMP0014,BCMP0014
BCMP0014,BOPP0002
BCMP0014,BOPP0029
BCMPDASD,BCMPDASD
BDAP0014,BDAP0014
BDAP0014,BDAPN014
BDAP0021,BDAP0021
BDAP0022,BDAP0022
BDAP007B,BDAP0007
BDAPX014,BDAPX014
BE200EOM,BE200EOM
BE200EOM,LIE.BE200EOM
BE200EOM,LIS.BE200EOM
BE504BLK,BE504BLK
BE504BLK,LIE.BE504BLK
BE504BLK,LIS.BE504BLK
BE504DA,BE504DA
BE504DA,LIE.BE504DA
BE504DA,LIS.BE504DA
BEAPTAXD,BEAPTAXD
BEAPTAXD,LIE.BEAPTAXD
BEAPTAXD,LIS.BEAPTAXD
BECB521M,BECB521M
BECB521M,LIE.BECB521M
BECB521M,LIS.BECB521M
BECCACIX,BECC102H
BECCACIX,BECCACIX
BECCACIX,BERTAM02
BEEPSMGR,BEEPSMGR
BEEPSMGR,LIE.BEEPSMGR
BEEPSMGR,LIS.BEEPSMGR
BELINKRP,BELINKRP
BELINKRP,LIE.BELINKRP
BELINKRP,LIS.BELINKRP
BENA005A,BENA005A
BENA005A,LIE.BENA005A
BENA005A,LIS.BENA005A
BEQ200A,BEQ200A
BEQ200A,LIE.BEQ200A
BEQ200A,LIS.BEQ200A
BEQ200A,RT950P93
BERCVCBR,BERCVCBR
BERCVCBR,BEXFRCBR
BERCVEOM,BERCVEOM
BERCVEOM,LIE.BERCVEOM
BERCVEOM,LIS.BERCVEOM
BERT443M,BERT443M
BERT443M,LIE.BERT443M
BERT443M,LIS.BERT443M
BEUS888M,BEUS888M
BEUS888M,LIE.BEUS888M
BEUS888M,LIS.BEUS888M
BEZ151,BEZ151
BEZ151,LIE.BEZ151
BEZ151,LIS.BEZ151
BFDBLK01,LIE.BFDBLK01
BFDBLK01,LIS.BFDBLK01
BFDFI001,LIE.BFDFI001
BFDFI001,LIS.BFDFI001
BFDSD001,LIE.BFDSD001
BFDSD001,LIS.BFDSD001
BFDSD002,LIE.BFDSD002
BFDSD002,LIS.BFDSD002
BFDSD003,LIE.BFDSD003
BFDSD003,LIS.BFDSD003
BJAP0011,BJAP0011
BJAP0012,BJAP0012
BJAP0013,BJAP0013
BJAP0014,BJAP0014
BKUPTADZ,BKUPTADZ
BLCOD040,LIE.BLCOD040
BLCOD040,LIS.BLCOD040
BLCOD040,PARMSET.BLCOD040
BLCOD040,SETPID.BLCOD040
BLD001,LIE.BLD001
BLD001,LIS.BLD001
BLD001P,LIE.BLD001P
BLD001P,LIS.BLD001P
BLD001P,ZRV60SBAT_1000_US_ORD_INVOICES
BLD002P1,LIE.BLD002P1
BLD002P1,LIS.BLD002P1
BLD002P1,RESUME.BLD2P2T
BLD002P2,RESUME.BLD2P2T
BLD002P2,TRIGGER.BLD2P2D2
BLD002P2,ZSD70AV3A_INVOICE_PRINT_ENT
BLD004,LIE.BLD004
BLD004,LIS.BLD004
BLD005,LIE.BLD005
BLD005,LIS.BLD005
BLD006,LIE.BLD006
BLD006,LIS.BLD006
BLD007,LIE.BLD007
BLD007,LIS.BLD007
BLD008,LIE.BLD008
BLD008,LIS.BLD008
BLD2P2D1,LIE.BLD2P2D1
